#training subjects
##v01,MS040013
##v01,MS040046
##v01,MS040054
##v01,MS040057
##v01,MS040066
##v01,MS040077
##v01,MS040099
##v01,MS040114
##v01,SK040006
##v01,SK040021
##v01,SK040030
##v01,SK040045
##v01,SK040046
##v02,MS040003
##v02,MS040012
##v02,MS040032
##v02,MS040046
##v02,MS040060
##v02,MS040088
##v02,MS040101
##v02,MS040111
##v02,SK040010
##v02,SK040025
##v02,SK040037
##v02,SK040050
##v02,SK040060


#run full subjects
#v01,MS040002
#v01,MS040004
#v01,MS040005
#v01,MS040008
#v01,MS040009
#v01,MS040013
#v01,MS040015
#v01,MS040016
#v01,MS040017
#v01,MS040018
#v01,MS040019
#v01,MS040023
#v01,MS040025
#v01,MS040027
#v01,MS040028
#v01,MS040032
#v01,MS040046
#v01,MS040051
#v01,MS040052
#v01,MS040053
#v01,MS040054
#v01,MS040055
#v01,MS040056
#v01,MS040057
#v01,MS040058
#v01,MS040059
#v01,MS040060
#v01,MS040061
#v01,MS040062
#v01,MS040063
#v01,MS040066
#v01,MS040069
#v01,MS040077
#v01,MS040086
#v01,MS040087
#v01,MS040089
#v01,MS040091
#v01,MS040092
#v01,MS040095
#v01,MS040099
#v01,MS040102
#v01,MS040106
#v01,MS040111
#v01,MS040114
#v01,MS040115
#v01,MS040118
#v01,MS040122
#v01,SK040001
#v01,SK040003
#v01,SK040004
#v01,SK040006
#v01,SK040008
#v01,SK040015
#v01,SK040016
#v01,SK040020
#v01,SK040021
#v01,SK040029
#v01,SK040030
v01,SK040032
#v01,SK040037
#v01,SK040041
#v01,SK040043
#v01,SK040045
#v01,SK040046
#v01,SK040050
#v01,SK040058
#v01,SK040061
#v02,MS040002
#v02,MS040003
#v02,MS040006
#v02,MS040007
#v02,MS040008
#v02,MS040012
#v02,MS040013
#v02,MS040016
#v02,MS040018
#v02,MS040026
#v02,MS040027
#v02,MS040032
#v02,MS040038
#v02,MS040040
#v02,MS040043
#v02,MS040044
#v02,MS040045
#v02,MS040046
#v02,MS040050
#v02,MS040051
#v02,MS040054
#v02,MS040055
v02,MS040058
#v02,MS040059
#v02,MS040061
#v02,MS040063
#v02,MS040064
#v02,MS040065
#v02,MS040066
#v02,MS040067
#v02,MS040069
#v02,MS040077
#v02,MS040087
#v02,MS040088
#v02,MS040089
#v02,MS040092
#v02,MS040099
#v02,MS040100
#v02,MS040101
#v02,MS040103
#v02,MS040105
#v02,MS040109
#v02,MS040111
#v02,MS040114
#v02,MS040119
#v02,MS040125
#v02,SK040004
#v02,SK040006
#v02,SK040010
#v02,SK040011
#v02,SK040020
#v02,SK040021
#v02,SK040025
#v02,SK040026
#v02,SK040029
#v02,SK040032
#v02,SK040035
#v02,SK040037
#v02,SK040038
#v02,SK040042
#v02,SK040043
#v02,SK040046
#v02,SK040050
#v02,SK040052
#v02,SK040054
#v02,SK040058
#v02,SK040059
#v02,SK040060
#v02,SK040061
